"KeyResult","ObjectiveName","PeriodName","SquadName","Confidence","Progress","P0","C0","P1","C1","P2","C2","P3","C3","P4","C4","P5","C5","P6","C6","P7","C7","P8","C8","P9","C9","P10","C10","P11","C11","P12","C12"
"Integration with Telenor complete and actively used by SIMOnline for >80% of lifecycle interactions","NetBridge is adopted across OpCos as the standard integration platform","FY26.Q4","Supernova","88%","83%","0%","0%","0%","0%",,,"0%","0%","0%","0%","0%","0%","77%","86%","77%","86%","83%","88%","83%","88%","83%","88%","83%","88%","83%","88%"
"Maintenance Mode is validated and formally signed off for production use","Operational monitoring and maintenance controls are fully production-ready","FY26.Q4","Orion","100%","100%","0%","0%","0%","0%",,,"50%","85%","50%","85%","60%","85%","80%","100%","80%","100%","90%","100%","90%","100%","100%","100%","100%","100%","100%","100%"
"Platform performance dashboards are live in Grafana and used for operational reporting","Operational monitoring and maintenance controls are fully production-ready","FY26.Q4","Orion","100%","100%","0%","0%","0%","0%",,,"50%","100%","50%","100%","50%","100%","50%","100%","50%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"≥95% of Request Manager queue issues trigger proactive notifications to ZeroGravity","Operational risk is reduced through improved visibility and early incident awareness","FY26.Q4","Zerogravity","100%","100%","0%","0%","0%","0%",,,"0%","90%","0%","90%","0%","90%","50%","85%","50%","85%","50%","96%","50%","96%","95%","96%","95%","96%","100%","100%"
"Top 3 operational pain points are validated with Operations and quantified","Operational risk is reduced through improved visibility and early incident awareness","FY26.Q4","Zerogravity","100%","100%","0%","0%","0%","0%",,,"0%","95%","10%","95%","10%","95%","50%","95%","50%","95%","95%","97%","95%","97%","95%","97%","95%","97%","100%","100%"
"Critical SNYK-identified vulnerabilities are reduced from 27 to 0","Platform security risk is reduced by eliminating known critical vulnerabilities","FY26.Q4","Polaris","94%","100%","0%","0%","0%","0%",,,"0%","0%","59%","55%","59%","55%","59%","47%","59%","47%","59%","47%","59%","47%","100%","94%","100%","94%","100%","94%"
"100% of reporting services have confirmed ownership and a defined disposition (retain, deprecate, or transfer)","Platform security risk is reduced by eliminating known critical vulnerabilities","FY26.Q4","Polaris","100%","100%","0%","0%","0%","0%",,,"0%","0%","29%","73%","29%","73%","23%","27%","23%","27%","23%","27%","23%","27%","100%","100%","100%","100%","100%","100%"
"≥2 services are delivered into production using Nebula scaffolding and pipelines","Product squads can build and operate production services with minimal dependency on Nebula","FY26.Q4","Nebula","85%","50%","0%","85%","0%","85%",,,"0%","85%","0%","85%","0%","85%","0%","85%","50%","85%","50%","85%","50%","85%","50%","85%","50%","85%","50%","85%"
"Median time from service scaffold to first production deployment is ≤1 working day","Product squads can build and operate production services with minimal dependency on Nebula","FY26.Q4","Nebula","85%","50%","0%","85%","0%","85%",,,"10%","85%","10%","85%","10%","85%","30%","85%","40%","85%","40%","85%","50%","85%","50%","85%","50%","85%","50%","85%"
"≥20% of WL services registered in service catalogue with ownership and on-call metadata","Product squads can build and operate production services with minimal dependency on Nebula","FY26.Q4","Nebula","85%","100%","0%","75%","0%","75%",,,"10%","75%","40%","85%","40%","85%","100%","85%","100%","85%","100%","85%","100%","85%","100%","85%","100%","85%","100%","85%"
"≥5 Nebula-owned or shared repos delivered exclusively through native GitLab CI/CD pipelines, replacing legacy CI integrations","Product squads can build and operate production services with minimal dependency on Nebula","FY26.Q4","Nebula","85%","100%","0%","85%","0%","85%",,,"15%","85%","15%","85%","15%","85%","15%","85%","40%","85%","40%","85%","60%","85%","80%","85%","100%","85%","100%","85%"
"≥30% of services report quality metrics","Product squads can build and operate production services with minimal dependency on Nebula","FY26.Q4","Nebula","80%","100%","0%","80%","0%","80%",,,"15%","80%","15%","80%","15%","80%","15%","80%","15%","80%","70%","80%","100%","80%","100%","80%","100%","80%","100%","80%"
"RPM UI, BFF, and Public APIs are production-deployable across environments","Production-ready Rate Plan Manager is established as the single source of tariff definition","FY26.Q4","Interstellar","80%","62%","0%","80%","0%","80%",,,"0%","80%","37%","80%","37%","80%","37%","80%","37%","80%","50%","80%","50%","80%","62%","80%","62%","80%","62%","80%"
"Rate plan data is exposed exclusively via versioned, read-only RPM APIs","Production-ready Rate Plan Manager is established as the single source of tariff definition","FY26.Q4","Interstellar","30%","0%","0%","80%","0%","80%",,,"0%","80%","0%","80%","0%","80%","0%","80%","0%","30%","0%","30%","0%","30%","0%","30%","0%","30%","0%","30%"
"Users can list, search, paginate, and view detailed rate plans in RPM","Production-ready Rate Plan Manager is established as the single source of tariff definition","FY26.Q4","Interstellar","20%","20%","0%","80%","0%","80%",,,"0%","80%","0%","80%","0%","80%","0%","80%","0%","20%","0%","20%","0%","20%","20%","20%","20%","20%","20%","20%"
"Accounting records received from BFX are collated and stored within ±1% of expected totals under production load","RASP operates reliably in production as the platform for live OpCo traffic","FY26.Q4","Supernova","94%","91%","0%","0%","0%","0%",,,"0%","0%","0%","0%","0%","0%","91%","89%","91%","89%","91%","94%","91%","94%","91%","94%","91%","94%","91%","94%"
"99.99% of accounting records are acknowledged and passed for processing within 2 seconds of receipt","RASP operates reliably in production as the platform for live OpCo traffic","FY26.Q4","Supernova","96%","96%","0%","0%","0%","0%",,,"0%","0%","0%","0%","0%","0%","90%","86%","90%","86%","96%","96%","96%","96%","96%","96%","96%","96%","96%","96%"
"RASP meets agreed production resilience and disaster recovery SLAs","RASP operates reliably in production as the platform for live OpCo traffic","FY26.Q4","Supernova","72%","65%","0%","0%","0%","0%",,,"0%","0%","0%","0%","0%","0%","52%","68%","52%","68%","65%","72%","65%","72%","65%","72%","65%","72%","65%","72%"
"100% of Arkessa traffic is migrated to RASP via the RADIUS interface in production","RASP operates reliably in production as the platform for live OpCo traffic","FY26.Q4","Supernova","48%","66%","0%","0%","0%","0%",,,"0%","0%","0%","0%","0%","0%","66%","47%","66%","47%","66%","48%","66%","48%","66%","48%","66%","48%","66%","48%"
"Konax application is live in production and accepted by the customer","Revenue-critical Kieron customer commitments are delivered in production","FY26.Q4","Orion","100%","100%","0%","0%","0%","0%",,,"80%","100%","80%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"100% of relevant production requests authenticate using header-based tokens","Revenue-critical Kieron customer commitments are delivered in production","FY26.Q4","Orion","30%","20%","0%","0%","0%","0%",,,"20%","90%","20%","90%","20%","90%","20%","50%","20%","50%","20%","50%","20%","50%","20%","30%","20%","30%","20%","30%"
"Axione application is live in production with successful customer transactions","Revenue-critical Kieron customer commitments are delivered in production","FY26.Q4","Orion","90%","95%","0%","0%","0%","0%",,,"25%","85%","25%","85%","25%","85%","25%","85%","25%","85%","95%","90%","95%","90%","95%","90%","95%","90%","95%","90%"
"Improved error messaging for invalid data formats is live in production","Revenue-critical Kieron customer commitments are delivered in production","FY26.Q4","Orion","80%","0%","0%","0%","0%","0%",,,"0%","80%","0%","80%","0%","80%","0%","50%","0%","50%","0%","50%","0%","50%","0%","80%","0%","80%","0%","80%"
"Packet core, HSS, and AUC functions are validated and formally signed off for production use","The Nokia 5G core is validated for production and ready for controlled platform integration","FY26.Q4","Titan","60%","65%","0%","0%","0%","0%",,,"0%","0%","0%","0%","0%","0%","40%","65%","40%","65%","65%","60%","65%","60%","65%","60%","65%","60%","65%","60%"
"Core provisioning interfaces are available in production, with 100% of defined API touchpoints accessible in staging","The Nokia 5G core is validated for production and ready for controlled platform integration","FY26.Q4","Titan","50%","60%","0%","0%","0%","0%",,,"0%","0%","0%","0%","0%","0%","35%","80%","35%","80%","60%","50%","60%","50%","60%","50%","60%","50%","60%","50%"
"Subscriber creation and basic data services are operational in staging, with at least one live SIM supported on the Nokia core","The Nokia 5G core is validated for production and ready for controlled platform integration","FY26.Q4","Titan","100%","100%","0%","0%","0%","0%",,,"0%","0%","0%","0%","0%","0%","40%","75%","40%","75%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"≥8 customer users actively use the platform during beta","WL platform authentication and access are proven reliable with real users","FY26.Q4","Zerogravity","100%","100%","0%","0%","0%","0%",,,"0%","85%","0%","90%","0%","90%","0%","90%","0%","90%","50%","93%","50%","93%","75%","93%","75%","93%","100%","100%"
"≥99.95% of authentication attempts succeed during beta","WL platform authentication and access are proven reliable with real users","FY26.Q4","Zerogravity","100%","100%","0%","0%","0%","0%",,,"0%","90%","0%","90%","0%","90%","0%","90%","0%","90%","80%","97%","80%","97%","80%","97%","80%","97%","100%","100%"
"100% of active users accept Terms of Service before platform access","WL platform authentication and access are proven reliable with real users","FY26.Q4","Zerogravity","100%","100%","0%","0%","0%","0%",,,"0%","95%","0%","95%","0%","95%","0%","95%","0%","95%","80%","98%","80%","98%","90%","98%","90%","98%","100%","100%"
"≥90% of beta users successfully log in and access SIMPro5","WL platform authentication and access are proven reliable with real users","FY26.Q4","Zerogravity","100%","100%","0%","0%","0%","0%",,,"0%","90%","0%","90%","0%","90%","0%","90%","0%","90%","50%","96%","50%","96%","90%","80%","90%","80%","100%","100%"
